aX,aY,aZ,gX,gY,gZ
0.305,0.207,-0.923,7.751,1.404,4.761
0.300,0.216,-0.905,4.272,0.916,6.348
0.288,0.243,-0.895,0.183,0.977,7.874
0.276,0.277,-0.897,-2.686,1.892,8.728
0.266,0.304,-0.906,-4.700,3.601,8.545
0.266,0.318,-0.924,-4.944,5.615,7.690
0.272,0.325,-0.953,-3.601,7.385,5.920
0.284,0.328,-0.981,-1.953,7.935,3.479
0.294,0.315,-0.997,-0.061,6.775,0.488
0.301,0.299,-0.994,1.953,4.333,-1.526
0.307,0.281,-0.979,2.930,1.465,-2.747
0.302,0.265,-0.963,2.869,-1.160,-2.991
0.302,0.255,-0.951,1.892,-3.052,-2.136
0.306,0.258,-0.932,0.305,-4.333,-0.916
0.299,0.260,-0.919,-0.244,-4.517,-0.244
0.294,0.260,-0.915,-0.427,-3.601,0.427
0.297,0.260,-0.924,-0.671,-2.014,0.977
0.301,0.254,-0.930,-0.305,-1.038,1.465
0.302,0.250,-0.936,0.183,-0.671,1.953
0.302,0.255,-0.951,0.610,-1.038,2.502
0.307,0.268,-0.959,1.343,-2.014,2.502
0.309,0.273,-0.953,2.930,-3.601,2.197
0.307,0.275,-0.941,4.272,-5.066,2.014
0.305,0.279,-0.938,4.761,-5.371,2.258
0.306,0.283,-0.936,4.395,-4.395,2.625
0.304,0.286,-0.935,3.296,-3.235,2.319
0.301,0.291,-0.935,1.648,-2.319,1.770
0.296,0.297,-0.933,-0.061,-1.648,0.854
0.296,0.300,-0.938,-1.465,-1.038,0.061
0.301,0.298,-0.939,-1.770,-0.549,-1.038
0.300,0.294,-0.947,-1.404,-0.061,-1.587
0.308,0.291,-0.962,-0.977,0.061,-2.258
0.314,0.287,-0.970,-0.427,-0.305,-2.991

1.224,-0.733,-0.956,-253.174,83.984,213.623
1.164,-0.733,-1.084,-289.978,83.374,261.475
0.936,-0.614,-1.089,-310.486,78.857,307.129
0.608,-0.490,-1.052,-314.331,84.961,338.074
0.388,-0.389,-1.030,-311.707,107.361,353.149
0.264,-0.269,-1.039,-308.044,135.986,360.046
0.146,-0.309,-1.020,-306.274,158.630,363.220
-0.013,-0.405,-1.062,-317.688,174.194,364.136
0.006,-0.285,-1.116,-340.759,185.364,365.845
0.091,-0.145,-1.228,-354.919,178.833,373.352
0.204,0.002,-1.331,-355.286,154.846,377.686
0.344,0.205,-1.432,-344.788,125.854,372.375
0.528,0.461,-1.506,-328.918,93.262,354.492
0.698,0.649,-1.579,-314.697,66.956,324.890
0.788,0.792,-1.625,-296.387,44.800,287.659
0.878,0.815,-1.653,-261.780,23.743,248.962
0.873,0.837,-1.651,-207.520,-1.526,220.154
0.814,0.723,-1.580,-137.695,-18.372,203.064
0.768,0.501,-1.371,-65.979,-24.719,195.374
0.677,0.232,-1.153,-8.667,-26.184,191.589
0.619,-0.006,-0.940,25.208,-24.597,189.331
0.641,-0.219,-0.692,38.635,-27.222,188.416
0.582,-0.361,-0.547,36.377,-46.509,187.439
0.480,-0.439,-0.463,23.010,-71.045,183.838
0.388,-0.465,-0.389,3.235,-85.571,179.016
0.296,-0.476,-0.347,-20.020,-85.449,175.171
0.212,-0.453,-0.352,-43.518,-75.989,172.791
0.181,-0.335,-0.455,-60.364,-64.026,172.302
0.155,-0.229,-0.564,-65.918,-50.964,167.786
0.056,-0.147,-0.673,-57.312,-41.992,154.114
-0.056,-0.110,-0.779,-38.513,-42.786,131.042
-0.125,-0.137,-0.849,-17.639,-53.589,98.022
-0.139,-0.242,-0.937,-0.122,-76.660,56.274
