aX,aY,aZ,gX,gY,gZ
1.192,0.444,0.198,-84.900,-38.940,-134.460
1.145,0.315,0.242,-73.486,-47.546,-125.671
1.055,0.182,0.227,-63.904,-59.753,-112.549
1.017,0.066,0.246,-57.129,-60.486,-102.783
1.052,-0.013,0.301,-53.101,-45.959,-102.539
1.038,-0.130,0.266,-46.509,-22.888,-108.643
1.075,-0.260,0.257,-31.677,2.441,-115.417
1.135,-0.405,0.253,-14.099,23.682,-114.319
1.179,-0.541,0.272,-1.770,35.645,-104.980
1.141,-0.671,0.219,2.258,39.063,-91.919
1.107,-0.779,0.164,-1.099,40.771,-78.003
1.072,-0.837,0.116,-12.390,44.495,-63.232
1.038,-0.828,0.061,-32.959,49.500,-48.706
1.032,-0.724,0.040,-56.152,53.223,-36.865
1.000,-0.583,-0.006,-74.951,51.392,-25.818
0.950,-0.468,-0.057,-83.191,44.128,-17.151
0.942,-0.380,-0.083,-80.566,34.119,-11.841
0.905,-0.315,-0.122,-72.449,22.827,-8.850
0.853,-0.249,-0.121,-62.622,10.437,-6.897
0.751,-0.182,-0.093,-53.528,-4.333,-3.967
0.635,-0.119,-0.032,-46.082,-16.724,-2.380
0.571,-0.071,0.012,-39.429,-20.935,-4.028
0.551,-0.062,0.049,-31.799,-20.447,-5.737
0.505,-0.081,0.098,-24.658,-19.714,-5.310
0.496,-0.081,0.160,-22.522,-18.372,-2.380
0.416,-0.120,0.095,-23.926,-19.409,3.357
0.385,-0.150,0.103,-27.100,-13.062,10.498
0.407,-0.130,0.085,-34.302,-3.906,17.883
0.403,-0.061,0.003,-44.556,2.136,24.536
0.330,0.057,-0.077,-50.781,0.977,28.564
0.282,0.183,-0.090,-49.744,-4.517,27.222
0.258,0.302,-0.137,-43.457,-15.015,21.362
0.244,0.383,-0.187,-30.151,-29.846,15.808
0.222,0.359,-0.121,-12.207,-46.875,11.536
0.232,0.287,-0.039,0.732,-59.448,3.906
0.265,0.217,0.019,9.094,-66.223,-7.324
0.296,0.115,0.045,17.944,-67.322,-18.188
0.265,-0.016,0.085,27.588,-66.162,-22.949
0.213,-0.129,0.128,30.090,-65.308,-21.545
0.175,-0.205,0.144,19.836,-65.430,-11.963
0.171,-0.236,0.144,0.061,-66.528,4.761
0.199,-0.157,0.138,-27.466,-67.566,25.085
0.212,0.065,0.127,-61.829,-69.702,43.335
0.255,0.324,0.125,-93.262,-72.144,53.955
0.332,0.558,0.200,-112.122,-71.167,52.856
0.401,0.694,0.279,-118.103,-64.941,41.260
0.459,0.758,0.358,-110.474,-54.932,26.489
0.507,0.749,0.429,-92.102,-43.884,15.076
0.584,0.680,0.476,-68.726,-33.752,8.484
0.646,0.605,0.522,-45.471,-27.161,5.371
0.690,0.532,0.548,-26.489,-22.400,3.967
0.741,0.438,0.569,-10.681,-16.357,1.282
0.745,0.332,0.539,2.991,-13.977,-2.930
0.727,0.204,0.516,14.282,-12.085,-7.080
0.713,0.064,0.505,19.531,-7.324,-8.240
0.726,-0.035,0.520,15.747,-0.366,-6.348
0.737,-0.064,0.530,2.197,8.423,-2.808
0.712,-0.016,0.496,-14.526,19.775,-0.366
0.769,0.090,0.431,-26.184,36.438,0.549
0.822,0.154,0.370,-23.926,50.659,1.953
0.872,0.160,0.309,-12.878,54.565,4.639
0.877,0.127,0.204,-0.854,52.002,7.690
0.903,0.101,0.148,7.324,49.438,9.705
0.915,0.110,0.113,10.010,45.898,11.108
0.921,0.136,0.087,7.935,40.710,11.475
0.936,0.152,0.081,4.944,35.583,10.376
0.954,0.148,0.093,3.296,31.250,8.728
0.964,0.141,0.099,1.953,28.076,7.690
1.006,0.154,0.127,0.305,25.391,8.057
0.978,0.126,0.076,-0.549,17.883,10.132
0.970,0.126,0.068,-0.916,12.939,11.536
0.966,0.164,0.082,-1.526,12.390,11.292
0.963,0.190,0.080,-1.160,13.489,9.521
0.966,0.187,0.083,1.343,13.184,8.118
0.983,0.168,0.091,2.808,13.916,7.629
0.996,0.165,0.083,1.709,15.259,7.385
0.997,0.168,0.077,-0.305,15.198,6.958
0.993,0.171,0.082,-2.075,14.160,6.287
0.991,0.173,0.079,-3.723,12.512,5.432
0.978,0.170,0.086,-4.150,10.925,5.249
0.969,0.158,0.094,-4.333,10.254,5.737
0.969,0.145,0.100,-5.310,10.193,6.042
0.969,0.144,0.103,-7.080,10.437,6.653
0.969,0.155,0.101,-8.545,10.681,7.202
0.959,0.167,0.093,-9.033,11.658,7.141
0.957,0.182,0.097,-8.057,13.428,7.080
0.954,0.180,0.089,-6.836,13.306,6.042
0.958,0.162,0.082,-6.592,12.024,4.272
0.963,0.144,0.087,-8.423,11.292,2.563
0.964,0.133,0.096,-12.634,10.864,1.587
0.965,0.139,0.102,-16.785,10.681,1.526
0.976,0.166,0.104,-19.165,11.108,2.197
0.983,0.196,0.097,-18.616,11.597,3.418
0.982,0.209,0.083,-15.442,11.597,4.395
0.974,0.207,0.078,-10.620,10.681,4.517
