aX,aY,aZ,gX,gY,gZ
-0.742,0.329,0.462,-3.845,12.878,3.174
-0.745,0.319,0.471,-0.427,10.071,2.075
-0.746,0.295,0.499,1.953,6.958,0.061
-0.755,0.272,0.529,2.502,4.272,-1.404
-0.769,0.250,0.566,2.136,2.686,-2.014
-0.783,0.240,0.596,1.526,2.808,-2.014

-1.801,-0.000,1.379,-5.310,-462.952,-226.257
-1.848,0.106,1.439,-12.268,-428.528,-209.595
-1.844,0.124,1.456,0.366,-391.785,-193.726
-1.807,-0.028,1.460,31.738,-365.601,-178.772
-1.732,-0.229,1.487,57.922,-345.581,-163.696
-1.700,-0.346,1.454,57.251,-324.951,-152.222
-1.643,-0.329,1.407,32.471,-307.800,-145.020
-1.570,-0.270,1.342,-7.568,-295.959,-145.935
-1.542,-0.177,1.233,-45.776,-284.973,-148.560
-1.513,-0.086,1.141,-65.369,-274.597,-142.212
-1.486,-0.065,1.055,-63.232,-265.686,-129.211
-1.468,-0.113,1.002,-49.500,-257.507,-114.990
-1.476,-0.199,0.976,-38.086,-250.793,-101.501
-1.455,-0.275,0.949,-38.086,-244.812,-88.318
-1.426,-0.325,0.885,-49.622,-239.197,-76.416
-1.375,-0.282,0.778,-72.144,-230.957,-63.904
-1.398,-0.143,0.649,-103.760,-228.210,-50.598
-1.378,0.181,0.578,-140.686,-231.262,-40.894
-1.415,0.464,0.596,-169.922,-239.502,-35.339
-1.488,0.721,0.624,-176.514,-258.972,-42.236
-1.514,0.810,0.771,-160.706,-272.522,-48.584
-1.577,0.803,0.990,-122.131,-278.809,-50.293
-1.612,0.653,1.261,-73.608,-270.996,-45.898
-1.596,0.431,1.552,-27.527,-252.197,-39.307
-1.548,0.201,1.788,3.845,-222.595,-34.851
-1.470,0.051,1.889,15.869,-181.885,-30.212
-1.356,-0.063,1.907,11.536,-131.287,-22.766
-1.275,-0.048,1.740,-1.526,-79.163,-12.390
-1.181,0.036,1.449,-19.592,-29.907,-0.977
-1.060,0.153,1.172,-39.001,9.338,6.104
-0.976,0.255,0.920,-55.908,33.081,7.141
-0.896,0.371,0.687,-66.711,43.335,4.089
-0.832,0.470,0.515,-66.650,41.016,0.549
-0.793,0.526,0.413,-53.345,29.602,-2.258
-0.800,0.528,0.380,-29.663,14.771,-3.845
-0.836,0.479,0.409,-3.784,0.244,-3.540
-0.886,0.387,0.490,17.334,-11.658,-2.808
-0.939,0.293,0.577,28.076,-19.592,-3.418
-0.961,0.240,0.633,26.550,-21.362,-4.089
-0.974,0.221,0.673,17.761,-19.043,-3.967
-0.985,0.222,0.695,8.484,-14.648,-4.272
-0.980,0.228,0.688,1.953,-8.179,-4.150
-0.960,0.227,0.664,-1.160,-0.488,-2.991
-0.932,0.239,0.625,-2.441,7.141,-1.160
-0.914,0.241,0.574,-2.747,13.977,0.183
-0.883,0.259,0.522,-2.747,18.921,1.221
-0.846,0.257,0.499,-3.967,21.179,1.587
-0.841,0.277,0.453,-4.822,18.372,-0.305
-0.837,0.271,0.451,-4.089,15.808,-0.854
-0.835,0.264,0.456,-1.038,14.221,-0.244
-0.836,0.265,0.460,2.747,13.489,1.770
-0.849,0.265,0.467,5.310,12.634,3.418
-0.857,0.269,0.463,6.775,13.367,4.272
-0.851,0.270,0.461,6.226,15.747,5.371
-0.859,0.290,0.452,4.272,17.944,6.653
-0.862,0.330,0.441,1.831,20.142,6.714
-0.861,0.347,0.421,1.404,21.790,5.676
-0.849,0.338,0.423,4.211,22.644,4.761
-0.839,0.319,0.413,7.629,23.437,4.456
-0.836,0.296,0.401,9.644,23.987,5.127
-0.833,0.289,0.390,10.193,24.841,6.348
-0.829,0.286,0.376,8.911,24.780,7.568
-0.827,0.286,0.370,6.775,24.353,8.179
-0.822,0.286,0.368,4.456,23.987,8.667
-0.816,0.296,0.367,1.892,23.743,9.460
-0.812,0.312,0.365,0.183,22.949,10.315
-0.807,0.336,0.367,0.000,21.729,10.986
-0.816,0.356,0.373,1.526,19.897,11.108
-0.824,0.352,0.385,4.272,18.433,9.827
-0.829,0.336,0.391,6.348,17.822,7.751
-0.828,0.312,0.404,7.568,17.822,6.470
-0.831,0.295,0.416,6.714,18.066,5.798
-0.834,0.285,0.422,5.371,18.494,5.249
-0.828,0.283,0.425,4.333,19.165,5.188
-0.821,0.292,0.422,2.930,20.020,5.676
-0.816,0.301,0.424,2.258,20.447,5.920
-0.812,0.302,0.424,3.235,20.630,6.409
-0.812,0.308,0.423,4.456,20.020,6.592
-0.805,0.313,0.426,4.395,18.616,6.165
-0.800,0.316,0.432,3.052,16.235,4.333
-0.807,0.318,0.446,2.747,13.550,2.380
-0.818,0.310,0.467,3.967,11.658,1.282
-0.825,0.286,0.480,6.592,11.902,1.160
-0.824,0.269,0.491,8.179,13.916,2.319
-0.821,0.271,0.490,7.019,16.602,3.967
-0.815,0.284,0.481,4.639,19.897,5.066
